scenario,year,region,demand_kt,growth_rate,industry_contribution,gdp_per_capita_contribution,population_contribution,transition_bonus,property_downturn_drag,substitution_drag,scenario_shock,raw_demand_growth,clip_adjustment
bull_case,2024,China,15864.74,0.04872906278947218,0.02522271268160597,0.01610926968063777,0.00023041376056177397,0.006,-0.0013333333333333333,-0.0015,0.004,0.04872906278947218,0.0
bull_case,2024,United States,1914.7100000000003,0.02074099111004208,0.007829886853602268,0.005153344329329901,0.0007577599271099089,0.005,0.0,-0.002,0.004,0.02074099111004208,0.0
bull_case,2024,European Union,3282.3599999999997,0.02022862475029645,0.008828384007197347,0.004203386510807583,0.00019685423229152122,0.005,0.0,-0.002,0.004,0.02022862475029645,0.0
bull_case,2024,Rest of World,6291.1900000000005,0.021213575982095126,0.010574360366901398,0.002466849897220302,0.0016723657179734273,0.004,0.0,-0.0015,0.004,0.021213575982095126,0.0
bull_case,2025,China,16637.81391159865,0.04872906278947218,0.02522271268160597,0.01610926968063777,0.00023041376056177397,0.006,-0.0013333333333333333,-0.0015,0.004,0.04872906278947218,0.0
bull_case,2025,United States,1954.422983088309,0.02074099111004208,0.007829886853602268,0.005153344329329901,0.0007577599271099089,0.005,0.0,-0.002,0.004,0.02074099111004208,0.0
bull_case,2025,European Union,3348.757628735383,0.02022862475029645,0.008828384007197347,0.004203386510807583,0.00019685423229152122,0.005,0.0,-0.002,0.004,0.02022862475029645,0.0
bull_case,2025,Rest of World,6424.648637082797,0.021213575982095126,0.010574360366901398,0.002466849897220302,0.0016723657179734273,0.004,0.0,-0.0015,0.004,0.021213575982095126,0.0
bull_case,2026,China,17426.375238494362,0.047395729456138846,0.02522271268160597,0.01610926968063777,0.00023041376056177397,0.006,-0.0026666666666666666,-0.0015,0.004,0.047395729456138846,0.0
bull_case,2026,United States,1994.9596528058053,0.02074099111004208,0.007829886853602268,0.005153344329329901,0.0007577599271099089,0.005,0.0,-0.002,0.004,0.02074099111004208,0.0
bull_case,2026,European Union,3416.498390186764,0.02022862475029645,0.008828384007197347,0.004203386510807583,0.00019685423229152122,0.005,0.0,-0.002,0.004,0.02022862475029645,0.0
bull_case,2026,Rest of World,6560.938409103816,0.021213575982095126,0.010574360366901398,0.002466849897220302,0.0016723657179734273,0.004,0.0,-0.0015,0.004,0.021213575982095126,0.0
bull_case,2027,China,18229.07583771454,0.04606239612280551,0.02522271268160597,0.01610926968063777,0.00023041376056177397,0.006,-0.004,-0.0015,0.004,0.04606239612280551,0.0
bull_case,2027,United States,2036.337093229543,0.02074099111004208,0.007829886853602268,0.005153344329329901,0.0007577599271099089,0.005,0.0,-0.002,0.004,0.02074099111004208,0.0
bull_case,2027,European Union,3485.6094540818444,0.02022862475029645,0.008828384007197347,0.004203386510807583,0.00019685423229152122,0.005,0.0,-0.002,0.004,0.02022862475029645,0.0
bull_case,2027,Rest of World,6700.119374559186,0.021213575982095126,0.010574360366901398,0.002466849897220302,0.0016723657179734273,0.004,0.0,-0.0015,0.004,0.021213575982095126,0.0
bull_case,2028,China,19044.445315453722,0.044729062789472175,0.02522271268160597,0.01610926968063777,0.00023041376056177397,0.006,-0.005333333333333333,-0.0015,0.004,0.044729062789472175,0.0
bull_case,2028,United States,2078.572742777266,0.02074099111004208,0.007829886853602268,0.005153344329329901,0.0007577599271099089,0.005,0.0,-0.002,0.004,0.02074099111004208,0.0
bull_case,2028,European Union,3556.118539754552,0.02022862475029645,0.008828384007197347,0.004203386510807583,0.00019685423229152122,0.005,0.0,-0.002,0.004,0.02022862475029645,0.0
bull_case,2028,Rest of World,6842.252866000505,0.021213575982095126,0.010574360366901398,0.002466849897220302,0.0016723657179734273,0.004,0.0,-0.0015,0.004,0.021213575982095126,0.0
bull_case,2029,China,19870.892912005384,0.04339572945613884,0.02522271268160597,0.01610926968063777,0.00023041376056177397,0.006,-0.006666666666666667,-0.0015,0.004,0.04339572945613884,0.0
bull_case,2029,United States,2121.684401556785,0.02074099111004208,0.007829886853602268,0.005153344329329901,0.0007577599271099089,0.005,0.0,-0.002,0.004,0.02074099111004208,0.0
