scenario,year,country,mine_supply_kt,share_2024
bear_case,2024,United States,1117.005300353357,0.04858657243816254
bear_case,2024,Australia,812.3674911660778,0.0353356890459364
bear_case,2024,Canada,456.95671378091873,0.01987632508833922
bear_case,2024,Chile,5381.934628975265,0.23409893992932862
bear_case,2024,China,1827.826855123675,0.07950530035335689
bear_case,2024,Congo (Kinshasa),3351.015901060071,0.14575971731448764
bear_case,2024,Germany,0.0,0.0
bear_case,2024,India,30.463780918727917,0.001325088339222615
bear_case,2024,Indonesia,1117.005300353357,0.04858657243816254
bear_case,2024,Japan,0.0,0.0
bear_case,2024,Kazakhstan,751.4399293286219,0.03268551236749117
bear_case,2024,Korea Republic,0.0,0.0
bear_case,2024,Mexico,710.821554770318,0.030918727915194347
bear_case,2024,Peru,2640.1943462897525,0.11484098939929328
bear_case,2024,Poland,416.3383392226148,0.018109540636042403
bear_case,2024,Russia,944.3772084805654,0.04107773851590106
bear_case,2024,Zambia,690.5123674911661,0.030035335689045935
bear_case,2024,Other countries,2741.7402826855123,0.11925795053003534
bear_case,2025,United States,1126.787949407391,0.04858657243816254
bear_case,2025,Australia,819.4821450235571,0.0353356890459364
bear_case,2025,Canada,460.95870657575085,0.01987632508833922
bear_case,2025,Chile,5429.0692107810655,0.23409893992932862
bear_case,2025,China,1843.8348263030034,0.07950530035335689
bear_case,2025,Congo (Kinshasa),3380.363848222173,0.14575971731448764
bear_case,2025,Germany,0.0,0.0
bear_case,2025,India,30.73058043838339,0.001325088339222615
bear_case,2025,Indonesia,1126.787949407391,0.04858657243816254
bear_case,2025,Japan,0.0,0.0
bear_case,2025,Kazakhstan,758.0209841467904,0.03268551236749117
bear_case,2025,Korea Republic,0.0,0.0
bear_case,2025,Mexico,717.0468768956125,0.030918727915194347
bear_case,2025,Peru,2663.3169713265606,0.11484098939929328
bear_case,2025,Poland,419.984599324573,0.018109540636042403
bear_case,2025,Russia,952.6479935898851,0.04107773851590106
bear_case,2025,Zambia,696.5598232700235,0.030035335689045935
bear_case,2025,Other countries,2765.7522394545053,0.11925795053003534
bear_case,2026,United States,1148.1753667358655,0.04858657243816254
bear_case,2026,Australia,835.0366303533568,0.0353356890459364
bear_case,2026,Canada,469.7081045737632,0.01987632508833922
bear_case,2026,Chile,5532.117676090989,0.23409893992932862
bear_case,2026,China,1878.8324182950528,0.07950530035335689
bear_case,2026,Congo (Kinshasa),3444.526100207597,0.14575971731448764
bear_case,2026,Germany,0.0,0.0
bear_case,2026,India,31.313873638250882,0.001325088339222615
bear_case,2026,Indonesia,1148.1753667358655,0.04858657243816254
bear_case,2026,Japan,0.0,0.0
bear_case,2026,Kazakhstan,772.4088830768551,0.03268551236749117
bear_case,2026,Korea Republic,0.0,0.0
bear_case,2026,Mexico,730.6570515591873,0.030918727915194347
bear_case,2026,Peru,2713.8690486484097,0.11484098939929328
bear_case,2026,Poland,427.95627305609537,0.018109540636042403
bear_case,2026,Russia,970.7300827857773,0.04107773851590106
bear_case,2026,Zambia,709.7811358003532,0.030035335689045935
bear_case,2026,Other countries,2818.248627442579,0.11925795053003534
bear_case,2027,United States,1183.6939545683435,0.04858657243816254
