scenario,year,country,mine_supply_kt,share_2024
bull_case,2024,United States,1117.4911660777384,0.04858657243816254
bull_case,2024,Australia,812.7208480565371,0.0353356890459364
bull_case,2024,Canada,457.1554770318021,0.01987632508833922
bull_case,2024,Chile,5384.275618374559,0.23409893992932862
bull_case,2024,China,1828.6219081272084,0.07950530035335689
bull_case,2024,Congo (Kinshasa),3352.4734982332157,0.14575971731448764
bull_case,2024,Germany,0.0,0.0
bull_case,2024,India,30.477031802120145,0.001325088339222615
bull_case,2024,Indonesia,1117.4911660777384,0.04858657243816254
bull_case,2024,Japan,0.0,0.0
bull_case,2024,Kazakhstan,751.7667844522969,0.03268551236749117
bull_case,2024,Korea Republic,0.0,0.0
bull_case,2024,Mexico,711.13074204947,0.030918727915194347
bull_case,2024,Peru,2641.3427561837457,0.11484098939929328
bull_case,2024,Poland,416.51943462897526,0.018109540636042403
bull_case,2024,Russia,944.7879858657244,0.04107773851590106
bull_case,2024,Zambia,690.8127208480565,0.030035335689045935
bull_case,2024,Other countries,2742.9328621908126,0.11925795053003534
bull_case,2025,United States,1081.4334066318831,0.04858657243816254
bull_case,2025,Australia,786.4970230050059,0.0353356890459364
bull_case,2025,Canada,442.4045754403158,0.01987632508833922
bull_case,2025,Chile,5210.542777408164,0.23409893992932862
bull_case,2025,China,1769.6183017612632,0.07950530035335689
bull_case,2025,Congo (Kinshasa),3244.3002198956497,0.14575971731448764
bull_case,2025,Germany,0.0,0.0
bull_case,2025,India,29.493638362687722,0.001325088339222615
bull_case,2025,Indonesia,1081.4334066318831,0.04858657243816254
bull_case,2025,Japan,0.0,0.0
bull_case,2025,Kazakhstan,727.5097462796306,0.03268551236749117
bull_case,2025,Korea Republic,0.0,0.0
bull_case,2025,Mexico,688.1848951293802,0.030918727915194347
bull_case,2025,Peru,2556.115324766269,0.11484098939929328
bull_case,2025,Poland,403.07972429006554,0.018109540636042403
bull_case,2025,Russia,914.3027892433194,0.04107773851590106
bull_case,2025,Zambia,668.5224695542549,0.030035335689045935
bull_case,2025,Other countries,2654.427452641895,0.11925795053003534
bull_case,2026,United States,1100.608934664046,0.04858657243816254
bull_case,2026,Australia,800.4428615738518,0.0353356890459364
bull_case,2026,Canada,450.2491096352916,0.01987632508833922
bull_case,2026,Chile,5302.933957926768,0.23409893992932862
bull_case,2026,China,1800.9964385411663,0.07950530035335689
bull_case,2026,Congo (Kinshasa),3301.8268039921386,0.14575971731448764
bull_case,2026,Germany,0.0,0.0
bull_case,2026,India,30.01660730901944,0.001325088339222615
bull_case,2026,Indonesia,1100.608934664046,0.04858657243816254
bull_case,2026,Japan,0.0,0.0
bull_case,2026,Kazakhstan,740.409646955813,0.03268551236749117
bull_case,2026,Korea Republic,0.0,0.0
bull_case,2026,Mexico,700.3875038771203,0.030918727915194347
bull_case,2026,Peru,2601.439300115018,0.11484098939929328
bull_case,2026,Poland,410.226966556599,0.018109540636042403
bull_case,2026,Russia,930.5148265796026,0.04107773851590106
bull_case,2026,Zambia,680.376432337774,0.030035335689045935
bull_case,2026,Other countries,2701.4946578117497,0.11925795053003534
bull_case,2027,United States,1145.5004478190472,0.04858657243816254
bull_case,2027,Australia,833.0912347774888,0.0353356890459364
bull_case,2027,Canada,468.6138195623374,0.01987632508833922
bull_case,2027,Chile,5519.229430400863,0.23409893992932862
bull_case,2027,China,1874.4552782493497,0.07950530035335689
bull_case,2027,Congo (Kinshasa),3436.5013434571415,0.14575971731448764
bull_case,2027,Germany,0.0,0.0
bull_case,2027,India,31.240921304155833,0.001325088339222615
bull_case,2027,Indonesia,1145.5004478190472,0.04858657243816254
bull_case,2027,Japan,0.0,0.0
bull_case,2027,Kazakhstan,770.6093921691772,0.03268551236749117
bull_case,2027,Korea Republic,0.0,0.0
bull_case,2027,Mexico,728.9548304303028,0.030918727915194347
bull_case,2027,Peru,2707.5465130268385,0.11484098939929328
bull_case,2027,Poland,426.959257823463,0.018109540636042403
bull_case,2027,Russia,968.4685604288308,0.04107773851590106
bull_case,2027,Zambia,708.1275495608654,0.030035335689045935
bull_case,2027,Other countries,2811.682917374025,0.11925795053003534
bull_case,2028,United States,1163.5707434657606,0.04858657243816254
bull_case,2028,Australia,846.2332679750987,0.0353356890459364
bull_case,2028,Canada,476.00621323599296,0.01987632508833922
bull_case,2028,Chile,5606.295400335029,0.23409893992932862
bull_case,2028,China,1904.0248529439718,0.07950530035335689
bull_case,2028,Congo (Kinshasa),3490.7122303972824,0.14575971731448764
bull_case,2028,Germany,0.0,0.0
bull_case,2028,India,31.7337475490662,0.001325088339222615
bull_case,2028,Indonesia,1163.5707434657606,0.04858657243816254
bull_case,2028,Japan,0.0,0.0
bull_case,2028,Kazakhstan,782.7657728769664,0.03268551236749117
bull_case,2028,Korea Republic,0.0,0.0
bull_case,2028,Mexico,740.4541094782113,0.030918727915194347
bull_case,2028,Peru,2750.2581209190707,0.11484098939929328
bull_case,2028,Poland,433.69454983723807,0.018109540636042403
bull_case,2028,Russia,983.7461740210522,0.04107773851590106
bull_case,2028,Zambia,719.2982777788338,0.030035335689045935
bull_case,2028,Other countries,2856.037279415958,0.11925795053003534
bull_case,2029,United States,1177.550323797789,0.04858657243816254
bull_case,2029,Australia,856.400235489301,0.0353356890459364
bull_case,2029,Canada,481.7251324627318,0.01987632508833922
bull_case,2029,Chile,5673.651560116619,0.23409893992932862
bull_case,2029,China,1926.9005298509271,0.07950530035335689
bull_case,2029,Congo (Kinshasa),3532.650971393367,0.14575971731448764
bull_case,2029,Germany,0.0,0.0
bull_case,2029,India,32.115008830848794,0.001325088339222615
bull_case,2029,Indonesia,1177.550323797789,0.04858657243816254
bull_case,2029,Japan,0.0,0.0
bull_case,2029,Kazakhstan,792.1702178276036,0.03268551236749117
bull_case,2029,Korea Republic,0.0,0.0
