scenario,year,country,mine_supply_kt,share_2024
base_case,2024,United States,1117.4911660777384,0.04858657243816254
base_case,2024,Australia,812.7208480565371,0.0353356890459364
base_case,2024,Canada,457.1554770318021,0.01987632508833922
base_case,2024,Chile,5384.275618374559,0.23409893992932862
base_case,2024,China,1828.6219081272084,0.07950530035335689
base_case,2024,Congo (Kinshasa),3352.4734982332157,0.14575971731448764
base_case,2024,Germany,0.0,0.0
base_case,2024,India,30.477031802120145,0.001325088339222615
base_case,2024,Indonesia,1117.4911660777384,0.04858657243816254
base_case,2024,Japan,0.0,0.0
base_case,2024,Kazakhstan,751.7667844522969,0.03268551236749117
base_case,2024,Korea Republic,0.0,0.0
base_case,2024,Mexico,711.13074204947,0.030918727915194347
base_case,2024,Peru,2641.3427561837457,0.11484098939929328
base_case,2024,Poland,416.51943462897526,0.018109540636042403
base_case,2024,Russia,944.7879858657244,0.04107773851590106
base_case,2024,Zambia,690.8127208480565,0.030035335689045935
base_case,2024,Other countries,2742.9328621908126,0.11925795053003534
base_case,2025,United States,1140.622244285312,0.04858657243816254
base_case,2025,Australia,829.543450389318,0.0353356890459364
base_case,2025,Canada,466.61819084399133,0.01987632508833922
base_case,2025,Chile,5495.7253588292315,0.23409893992932862
base_case,2025,China,1866.4727633759653,0.07950530035335689
base_case,2025,Congo (Kinshasa),3421.866732855937,0.14575971731448764
base_case,2025,Germany,0.0,0.0
base_case,2025,India,31.107879389599425,0.001325088339222615
base_case,2025,Indonesia,1140.622244285312,0.04858657243816254
base_case,2025,Japan,0.0,0.0
base_case,2025,Kazakhstan,767.3276916101191,0.03268551236749117
base_case,2025,Korea Republic,0.0,0.0
base_case,2025,Mexico,725.8505190906532,0.030918727915194347
base_case,2025,Peru,2696.0162137652833,0.11484098939929328
base_case,2025,Poland,425.1410183245254,0.018109540636042403
base_case,2025,Russia,964.3442610775821,0.04107773851590106
base_case,2025,Zambia,705.1119328309202,0.030035335689045935
base_case,2025,Other countries,2799.709145063948,0.11925795053003534
base_case,2026,United States,1164.2321153418018,0.04858657243816254
base_case,2026,Australia,846.7142657031286,0.0353356890459364
base_case,2026,Canada,476.2767744580098,0.01987632508833922
base_case,2026,Chile,5609.482010283227,0.23409893992932862
base_case,2026,China,1905.1070978320392,0.07950530035335689
base_case,2026,Congo (Kinshasa),3492.6963460254055,0.14575971731448764
base_case,2026,Germany,0.0,0.0
base_case,2026,India,31.751784963867326,0.001325088339222615
base_case,2026,Indonesia,1164.2321153418018,0.04858657243816254
base_case,2026,Japan,0.0,0.0
base_case,2026,Kazakhstan,783.210695775394,0.03268551236749117
base_case,2026,Korea Republic,0.0,0.0
base_case,2026,Mexico,740.8749824902376,0.030918727915194347
base_case,2026,Peru,2751.821363535168,0.11484098939929328
base_case,2026,Poland,433.94106117285344,0.018109540636042403
base_case,2026,Russia,984.305333879887,0.04107773851590106
base_case,2026,Zambia,719.7071258476593,0.030035335689045935
base_case,2026,Other countries,2857.660646748059,0.11925795053003534
base_case,2027,United States,1188.3306898354697,0.04858657243816254
base_case,2027,Australia,864.2405016985234,0.0353356890459364
base_case,2027,Canada,486.13528220541934,0.01987632508833922
