start_year,year,window_years,refined_usage_growth,world_real_gdp_growth,refined_usage_start_kt,refined_usage_end_kt,world_real_gdp_start_usd,world_real_gdp_end_usd
2012,2013,1,0.04536354314175495,0.02889747656173225,20479.0,21408.0,69279085457391.3,71281076205614.5
2013,2014,1,0.06997384155455899,0.031684919305836834,21408.0,22906.0,71281076205614.5,73539611353222.6
2014,2015,1,0.006111935737361351,0.03127213256999117,22906.0,23046.0,73539611353222.6,75839351828606.2
2015,2016,1,0.01909225028204453,0.027897407423459253,23046.0,23486.0,75839351828606.2,77955073125299.9
2016,2017,1,0.008345397257940812,0.03446586231679527,23486.0,23682.0,77955073125299.9,80641861942532.2
2017,2018,1,0.03365425217464746,0.03286630864628037,23682.0,24479.0,80641861942532.2,83292262266946.2
2018,2019,1,-0.005228971771722657,0.026803087475530507,24479.0,24351.0,83292262266946.2,85524752058522.0
2019,2020,1,0.02472177733973968,-0.028862118545708748,24351.0,24953.0,85524752058522.0,83056326526016.6
2020,2021,1,0.012263054542539953,0.0648508887596746,24953.0,25259.0,83056326526016.6,88442603118342.5
2021,2022,1,0.023674729799279426,0.03440010972656471,25259.0,25857.0,88442603118342.5,91485038370116.5
2022,2023,1,0.028889662373825287,0.028593849333597543,25857.0,26604.0,91485038370116.5,94100947773550.0
2023,2024,1,0.02815366110359352,0.02900013401567203,26604.0,27353.0,94100947773550.0,96829887869984.7
