scenario,year,region,demand_kt,growth_rate,industry_contribution,gdp_per_capita_contribution,population_contribution,transition_bonus,property_downturn_drag,substitution_drag,scenario_shock,raw_demand_growth,clip_adjustment
bear_case,2024,China,15864.74,0.026939226129160287,0.021743717828970666,0.01718322099268029,0.000345620640842661,0.001,-0.003333333333333333,-0.004,-0.006,0.026939226129160287,0.0
bear_case,2024,United States,1914.7100000000003,0.0043834429686187126,0.006749902460001955,0.005496900617951894,0.0011366398906648633,0.001,0.0,-0.004,-0.006,0.0043834429686187126,0.0
bear_case,2024,European Union,3282.3599999999997,0.0033895694949056133,0.007610675868273575,0.004483612278194755,0.0002952813484372818,0.001,0.0,-0.004,-0.006,0.0033895694949056133,0.0
bear_case,2024,Rest of World,6291.1900000000005,0.005755683036496336,0.009115827902501206,0.0026313065570349892,0.0025085485769601413,0.0005,0.0,-0.003,-0.006,0.005755683036496336,0.0
bear_case,2025,China,16292.123818340335,0.026939226129160287,0.021743717828970666,0.01718322099268029,0.000345620640842661,0.001,-0.003333333333333333,-0.004,-0.006,0.026939226129160287,0.0
bear_case,2025,United States,1923.103022086444,0.0043834429686187126,0.006749902460001955,0.005496900617951894,0.0011366398906648633,0.001,0.0,-0.004,-0.006,0.0043834429686187126,0.0
bear_case,2025,European Union,3293.4857873272977,0.0033895694949056133,0.007610675868273575,0.004483612278194755,0.0002952813484372818,0.001,0.0,-0.004,-0.006,0.0033895694949056133,0.0
bear_case,2025,Rest of World,6327.400095562377,0.005755683036496336,0.009115827902501206,0.0026313065570349892,0.0025085485769601413,0.0005,0.0,-0.003,-0.006,0.005755683036496336,0.0
bear_case,2026,China,16676.713946612414,0.023605892795826953,0.021743717828970666,0.01718322099268029,0.000345620640842661,0.001,-0.006666666666666666,-0.004,-0.006,0.023605892795826953,0.0
bear_case,2026,United States,1931.5328345065382,0.0043834429686187126,0.006749902460001955,0.005496900617951894,0.0011366398906648633,0.001,0.0,-0.004,-0.006,0.0043834429686187126,0.0
bear_case,2026,European Union,3304.6492862839273,0.0033895694949056133,0.007610675868273575,0.004483612278194755,0.0002952813484372818,0.001,0.0,-0.004,-0.006,0.0033895694949056133,0.0
bear_case,2026,Rest of World,6363.8186049575315,0.005755683036496336,0.009115827902501206,0.0026313065570349892,0.0025085485769601413,0.0005,0.0,-0.003,-0.006,0.005755683036496336,0.0
bear_case,2027,China,17014.79362173411,0.02027255946249362,0.021743717828970666,0.01718322099268029,0.000345620640842661,0.001,-0.01,-0.004,-0.006,0.02027255946249362,0.0
bear_case,2027,United States,1939.999598528612,0.0043834429686187126,0.006749902460001955,0.005496900617951894,0.0011366398906648633,0.001,0.0,-0.004,-0.006,0.0043834429686187126,0.0
bear_case,2027,European Union,3315.8506246960765,0.0033895694949056133,0.007610675868273575,0.004483612278194755,0.0002952813484372818,0.001,0.0,-0.004,-0.006,0.0033895694949056133,0.0
bear_case,2027,Rest of World,6400.446727749426,0.005755683036496336,0.009115827902501206,0.0026313065570349892,0.0025085485769601413,0.0005,0.0,-0.003,-0.006,0.005755683036496336,0.0
bear_case,2028,China,17303.011058433658,0.01693922612916029,0.021743717828970666,0.01718322099268029,0.000345620640842661,0.001,-0.013333333333333332,-0.004,-0.006,0.01693922612916029,0.0
bear_case,2028,United States,1948.5034761279055,0.0043834429686187126,0.006749902460001955,0.005496900617951894,0.0011366398906648633,0.001,0.0,-0.004,-0.006,0.0043834429686187126,0.0
bear_case,2028,European Union,3327.0899308232097,0.0033895694949056133,0.007610675868273575,0.004483612278194755,0.0002952813484372818,0.001,0.0,-0.004,-0.006,0.0033895694949056133,0.0
bear_case,2028,Rest of World,6437.285670406332,0.005755683036496336,0.009115827902501206,0.0026313065570349892,0.0025085485769601413,0.0005,0.0,-0.003,-0.006,0.005755683036496336,0.0
bear_case,2029,China,17538.433971939714,0.013605892795826954,0.021743717828970666,0.01718322099268029,0.000345620640842661,0.001,-0.016666666666666666,-0.004,-0.006,0.013605892795826954,0.0
bear_case,2029,United States,1957.0446299896676,0.0043834429686187126,0.006749902460001955,0.005496900617951894,0.0011366398906648633,0.001,0.0,-0.004,-0.006,0.0043834429686187126,0.0
bear_case,2029,European Union,3338.367333359535,0.0033895694949056133,0.007610675868273575,0.004483612278194755,0.0002952813484372818,0.001,0.0,-0.004,-0.006,0.0033895694949056133,0.0
bear_case,2029,Rest of World,6474.336646340572,0.005755683036496336,0.009115827902501206,0.0026313065570349892,0.0025085485769601413,0.0005,0.0,-0.003,-0.006,0.005755683036496336,0.0
bear_case,2030,China,17718.598577795485,0.01027255946249362,0.021743717828970666,0.01718322099268029,0.000345620640842661,0.001,-0.02,-0.004,-0.006,0.01027255946249362,0.0
bear_case,2030,United States,1965.6232235122689,0.0043834429686187126,0.006749902460001955,0.005496900617951894,0.0011366398906648633,0.001,0.0,-0.004,-0.006,0.0043834429686187126,0.0
bear_case,2030,European Union,3349.6829614354797,0.0033895694949056133,0.007610675868273575,0.004483612278194755,0.0002952813484372818,0.001,0.0,-0.004,-0.006,0.0033895694949056133,0.0
bear_case,2030,Rest of World,6511.600875948481,0.005755683036496336,0.009115827902501206,0.0026313065570349892,0.0025085485769601413,0.0005,0.0,-0.003,-0.006,0.005755683036496336,0.0
bear_case,2031,China,17900.613935277946,0.01027255946249362,0.021743717828970666,0.01718322099268029,0.000345620640842661,0.001,-0.02,-0.004,-0.006,0.01027255946249362,0.0
